A9	84.94	87.00	85.09	99.20	82.52	87.03	82.67	99.23
A8	85.07	65.04	85.05	77.24	82.65	65.04	82.63	77.24
A7	85.16	44.52	85.18	56.72	82.74	44.52	82.76	56.72
A6	85.44	23.95	84.95	36.14	83.02	23.85	82.53	36.04
A5	85.38	4.01	85.17	16.21	82.96	3.97	82.75	16.17
A4	85.70	-14.91	85.66	-2.71	83.28	-14.92	83.24	-2.72
A3	85.65	-34.79	85.61	-22.59	83.23	-34.80	83.19	-22.60
A2	85.61	-53.98	85.59	-41.78	83.19	-53.98	83.17	-41.78
A1	85.77	-73.52	85.83	-61.32	83.35	-73.51	83.41	-61.31
A0	85.59	-92.68	85.97	-80.49	83.17	-92.60	83.55	-80.41
B9	69.55	86.67	69.17	98.86	67.13	86.59	66.75	98.79
B8	70.08	64.25	69.57	76.44	67.66	64.15	67.15	76.34
B7	70.49	43.44	70.13	55.63	68.07	43.37	67.71	55.56
B6	70.73	22.98	70.41	35.18	68.31	22.92	67.99	35.11
B5	71.46	3.24	71.08	15.43	69.04	3.16	68.66	15.36
B4	71.67	-15.54	71.37	-3.34	69.25	-15.60	68.95	-3.40
B3	72.14	-35.67	71.97	-23.47	69.72	-35.70	69.55	-23.50
B2	72.32	-54.15	72.17	-41.95	69.90	-54.18	69.75	-41.98
B1	72.55	-74.11	72.40	-61.91	70.13	-74.14	69.98	-61.94
B0	72.61	-92.82	73.12	-80.63	70.19	-92.72	70.70	-80.53
C9	54.83	85.98	54.81	98.18	52.41	85.98	52.39	98.18
C8	55.04	63.78	55.02	75.98	52.62	63.78	52.60	75.98
C7	55.50	43.93	55.65	56.13	53.08	43.96	53.23	56.16
C6	55.71	22.53	55.58	34.73	53.29	22.50	53.16	34.70
C5	55.82	3.01	55.93	15.21	53.40	3.03	53.51	15.23
C4	56.12	-15.99	56.18	-3.79	53.70	-15.98	53.76	-3.78
C3	56.54	-36.45	56.43	-24.25	54.12	-36.47	54.01	-24.27
C2	56.86	-54.54	56.75	-42.34	54.44	-54.56	54.33	-42.36
C1	57.27	-74.82	57.16	-62.62	54.85	-74.84	54.74	-62.64
C0	57.78	-92.62	57.52	-80.42	55.36	-92.67	55.11	-80.47
D9	39.55	86.62	39.57	98.82	37.13	86.62	37.15	98.82
D8	38.65	64.13	38.74	76.33	36.23	64.15	36.32	76.35
D7	39.16	44.46	39.37	56.66	36.74	44.50	36.95	56.70
D6	39.20	22.13	39.37	34.33	36.78	22.16	36.95	34.36
D5	39.89	2.20	39.76	14.40	37.47	2.17	37.34	14.37
D4	40.28	-17.24	40.11	-5.04	37.86	-17.27	37.69	-5.07
D3	40.84	-37.45	40.54	-25.25	38.42	-37.51	38.12	-25.31
D2	41.26	-55.43	40.98	-43.23	38.84	-55.48	38.56	-43.29
D1	41.79	-75.05	41.47	-62.85	39.37	-75.11	39.05	-62.92
D0	42.07	-92.80	41.81	-80.60	39.65	-92.85	39.40	-80.65
E9	24.15	86.60	24.15	98.80	21.73	86.60	21.73	98.80
E8	23.09	64.30	23.05	76.50	20.67	64.29	20.63	76.49
E7	23.61	44.44	23.67	56.64	21.19	44.45	21.25	56.65
E6	23.76	21.33	23.74	33.53	21.34	21.33	21.32	33.53
E5	23.83	1.35	23.83	13.55	21.41	1.35	21.41	13.55
E4	24.00	-18.78	23.68	-6.58	21.58	-18.84	21.26	-6.65
E3	24.79	-38.46	24.56	-26.26	22.37	-38.51	22.14	-26.31
E2	26.26	-56.79	25.69	-44.60	23.84	-56.90	23.27	-44.72
E1	26.78	-75.85	26.65	-63.65	24.36	-75.88	24.23	-63.68
E0	27.61	-93.08	27.16	-80.89	25.19	-93.17	24.74	-80.98
F9	9.73	86.14	10.18	98.33	7.31	86.23	7.76	98.42
F8	8.79	63.81	8.53	76.01	6.37	63.76	6.12	75.96
F7	9.91	44.18	9.70	56.38	7.49	44.14	7.28	56.34
F6	11.35	20.70	11.18	32.90	8.93	20.67	8.76	32.87
F5	11.33	1.66	11.97	13.84	8.91	1.79	9.55	13.97
F4	10.90	-15.51	11.43	-3.32	8.48	-15.40	9.01	-3.22
F3	10.68	-38.37	10.83	-26.17	8.26	-38.34	8.41	-26.14
F2	11.09	-56.63	11.05	-44.43	8.67	-56.64	8.63	-44.44
F1	11.18	-75.90	10.97	-63.70	8.76	-75.94	8.55	-63.74
F0	11.71	-94.19	11.56	-81.99	9.29	-94.22	9.14	-82.02
G9	-6.15	84.97	-6.49	97.17	-8.57	84.90	-8.91	97.10
G8	-6.03	63.15	-6.24	75.35	-8.45	63.11	-8.66	75.31
G7	-5.31	43.25	-5.48	55.45	-7.73	43.22	-7.90	55.42
G6	-4.95	20.00	-4.89	32.20	-7.37	20.01	-7.31	32.21
G5	-4.32	0.02	-4.70	12.21	-6.74	-0.06	-7.12	12.14
G4	-3.73	-21.03	-3.62	-8.83	-6.15	-21.01	-6.04	-8.81
G3	-3.62	-39.23	-3.77	-27.03	-6.04	-39.26	-6.19	-27.06
G2	-3.45	-57.53	-3.51	-45.33	-5.87	-57.54	-5.93	-45.34
G1	-3.40	-76.09	-3.17	-63.89	-5.82	-76.04	-5.59	-63.85
G0	-3.29	-95.18	-3.40	-82.98	-5.71	-95.20	-5.82	-83.00
H9	-22.65	85.12	-22.35	97.32	-25.07	85.18	-24.77	97.38
H8	-23.20	62.55	-23.22	74.75	-25.62	62.55	-25.64	74.75
H7	-22.65	42.97	-22.97	55.17	-25.07	42.91	-25.39	55.10
H6	-21.72	19.87	-21.63	32.07	-24.14	19.89	-24.05	32.09
VIP car H5	-19.37	3.30	-19.80	9.39	-21.80	3.13	-22.23	9.21
H4	-20.54	-21.52	-20.73	-9.32	-22.96	-21.56	-23.15	-9.36
H3	-20.13	-40.17	-20.09	-27.97	-22.55	-40.16	-22.51	-27.96
H2	-20.14	-58.27	-20.05	-46.07	-22.56	-58.25	-22.47	-46.05
H1	-19.56	-76.83	-19.69	-64.63	-21.98	-76.86	-22.11	-64.66
H0	-18.75	-96.28	-18.88	-84.08	-21.17	-96.31	-21.30	-84.11
I9	-36.72	84.45	-36.51	96.65	-39.14	84.49	-38.93	96.69
I8	-37.32	62.15	-37.23	74.35	-39.74	62.17	-39.65	74.37
I7	-37.27	42.56	-37.25	54.76	-39.69	42.56	-39.67	54.76
I6	-37.77	19.32	-37.11	31.50	-40.19	19.45	-39.53	31.63
I5	-36.30	-1.73	-36.30	10.47	-38.72	-1.73	-38.72	10.47
I4	-35.71	-21.32	-35.65	-9.12	-38.13	-21.31	-38.07	-9.11
I3	-35.16	-41.20	-35.48	-29.00	-37.58	-41.26	-37.90	-29.07
I2	-34.85	-58.67	-34.98	-46.47	-37.27	-58.70	-37.40	-46.50
I1	-34.32	-77.41	-34.06	-65.21	-36.74	-77.36	-36.48	-65.16
I0	-34.00	-97.19	-33.77	-84.99	-36.42	-97.14	-36.19	-84.95
J9	-52.53	83.66	-52.72	95.86	-54.95	83.62	-55.14	95.82
J8	-52.91	61.90	-52.72	74.10	-55.33	61.94	-55.14	74.14
J7	-52.27	42.68	-52.46	54.88	-54.69	42.64	-54.88	54.84
J6	-51.80	19.65	-51.67	31.85	-54.22	19.68	-54.09	31.87
J5	-51.44	-2.38	-51.31	9.82	-53.86	-2.35	-53.73	9.84
J4	-51.09	-23.11	-50.98	-10.91	-53.51	-23.09	-53.40	-10.89
J3	-51.24	-42.26	-51.35	-30.06	-53.66	-42.28	-53.77	-30.08
J2	-50.56	-59.82	-50.67	-47.62	-52.98	-59.84	-53.09	-47.64
